Russian,Finnish
огнестрельное оружие, ampuma-ase
оружие, ase
винтовка, kivääri
карабин, karbiini
пистолет, pistooli
автомат, rynnäkkökivääri
пистолет-пулемёт, konepistooli
пулемёт, konekivääri
гранатомёт, sinko
реактивный противотанковый гранатомёт, sinko
ручной противотанковый гранатомёт, sinko
безоткатное орудие, sinko
миномёт, kranaatinheitin
орудие, tykki
пушка, kanuuna
гаубица, haupitsi
боеприпасы, ampumatarvike
патрон, patruuna
граната, kranaatti
мина, miina
снаряд, ammus
бомба, pommi
автоматический, automaattinen
ручной, käsikäyttöinen
станковый, jalustallinen
