Russian,Finnish
танк,tank
гусеничный,tracked
бронированный,armoured
машина,vehicle
броневой,armour
башня,turret
вооружение,armament
силовая установка,power source
силовая передача,transmission
ходовая часть,platform
электрооборудование,electrical system
средства связи,communications equipment
корабль,ship
судно,vessel
плавсредство,platform
флот,equipment
оборудование,equipment
устройство,equipment
судно,vessel
корабль,ship
фрегат,frigate
крейсер,cruiser
линкор,battleship
подводная лодка,submarine
минный заградитель,minelayer
тральщик,minesweeper
торпедный катер,torpedo boat
канонерская лодка,gunboat
самолёт,aircraft
полёт,flight
аэродром,airfield
шасси,landing gear
двигатель,engine
кабина,cockpit
крыло,wing
хвост,tail
фюзеляж,hull
авианосец,aircraft carrier
вертолётоносец,helicopter carrier
десантный вертолётоносец,amphibious assault ship
вертолёт,helicopter
бомбардировщик,bomber
торпедоносец,torpedo bomber
истребитель-бомбардировщик,fighter-bomber
истребитель,fighter
истребитель-перехватчик,interceptor
