Russian,English
аккредитация,Accreditation
Информационная безопасность вооруженных сил,Information security of the armed forces
Деятельность вооруженных сил в информационном пространстве,Activities of the armed forces in the information space
автоматизированная обработка персональных данных,Automated processing of personal data
документированная информация,Documented information
несанкционированное вмешательство в информационные ресурсы,Unauthorized interference with information resources
электронный документ,Electronic document
электронное сообщение,Electronic message
персональные данные,Personal data
обезличивание персональных данных,Depersonalization of personal data
информационная система персональных данных,Personal data information system
обработка персональных данных,Processing of personal data
информация,Information
предоставление информации,Provision of information
обладатель информации,Information owner
распространение информации,Dissemination of information
конфиденциальность информации,Confidentiality of information
защита информации,Protection of information
Информационное оружие,Information weapon
Информационная инфраструктура,Information infrastructure
критически важный объект информационной инфраструктуры,Critically important information infrastructure object
информационная система,Information system
государственные информационные системы,State information systems
муниципальные информационные системы,Municipal information systems
оператор информационной системы,Information system operator
Информационные ресурсы,Information resources
неправомерное использование информационных ресурсов,Unlawful use of information resources
информационная преступность,Information crime
Информационная война,Information warfare
информационные технологии,Information technologies
информационно-коммуникационные технологии,Information and communication technologies
информационно-телекоммуникационная сеть,Information and telecommunication network
информационный терроризм,Information terrorism
информационное пространство,Information space
информационная безопасность,Information security
угроза информационной безопасности,Threat to information security
сайт в сети «Интернет»,Website on the Internet
Международная информационная безопасность,International information security
средства ликвидации последствий компьютерных инцидентов в критической информационной инфраструктуре,Means for eliminating the consequences of computer incidents in critical information infrastructure
безопасность критической информационной инфраструктуры,Security of critical information infrastructure
безопасность автоматизированной системы управления КВО,Security of the automated control system of critically important objects
критически важные объекты,Critically important objects
критически важный объект,Critically important object
критически важный объект инфраструктуры Российской Федерации,Critically important infrastructure object of the Russian Federation
объекты критической информационной инфраструктуры,Objects of critical information infrastructure
критически важные структуры,Critically important structures
киберпространство,Cyberspace
кибербезопасность,Cybersecurity
оператор,Operator
провайдер хостинга,Hosting provider
доступ к информации,Access to information
владелец сайта в сети «Интернет»,Website owner on the Internet
Военный конфликт в информационном пространстве,Military conflict in the information space
материальный носитель,Physical medium
терроризм в информационном пространстве,Terrorism in the information space
компьютерная атака,Computer attack
силы обнаружения и предупреждения компьютерных атак,Forces for detection and warning of computer attacks
средства обнаружения и предупреждения компьютерных атак,Means and tools for detection and warning of computer attacks
силы ликвидации последствий компьютерных инцидентов в критической информационной инфраструктуре,Forces for eliminating the consequences of computer incidents in critical information infrastructure
компьютерный инцидент,Computer incident
компьютерный инцидент,Security incident, computer incident
угроза в информационном пространстве, угроза информационной безопасности,Threat in the information space, threat to information security
государственная система обнаружения, предупреждения и ликвидации последствий компьютерных атак на информационные ресурсы Российской Федерации,State system for detection, warning and elimination of the consequences of computer attacks on the information resources of the Russian Federation
Автоматизированная система управления производственными и технологическими процессами критически важного объекта инфраструктуры Российской Федерации,Automated control system for production and technological processes of a critically important infrastructure object of the Russian Federation
Внешняя разведка Российской Федерации,Foreign Intelligence Service of the Russian Federation
информационные ресурсы Российской Федерации,Information resources of the Russian Federation
Система обеспечения информационной безопасности Российской Федерации,System for ensuring the information security of the Russian Federation
критическая информационная инфраструктура Российской Федерации,Critical information infrastructure of the Russian Federation
субъекты критической информационной инфраструктуры Российской Федерации,Subjects of the critical information infrastructure of the Russian Federation
нарушение функционирования критической информационной инфраструктуры Российской Федерации,Disruption of the functioning of the critical information infrastructure of the Russian Federation
автоматизированная система управления производственными и технологическими процессами критически важного объекта инфраструктуры Российской Федерации,Automated control system for production and technological processes of a critically important infrastructure object of the Russian Federation
безопасность критической информационной инфраструктуры Российской Федерации,Security of the critical information infrastructure of the Russian Federation
единая система идентификации и аутентификации,Unified identification and authentication system
единая государственная система обнаружения и предупреждения компьютерных атак на критическую информационную инфраструктуру и оценки уровня реальной защищенности ее элементов,Unified state system for detection and warning of computer attacks on critical information infrastructure and assessment of the level of real protection of its elements
