prompt,ve1,ve2,ve3,ve4
МО (Ministry of Defence - MoD),Министерство обороны,Генеральный штаб Вооружённых сил,Вооружённые силы,Федеральная служба безопасности
ГШ ВС (General Staff of the Armed Forces - General Staff),Генеральный штаб Вооружённых сил,Министерство обороны,Главное управление Генерального штаба Вооружённых сил,Вооружённые силы
ГУ ГШ ВС (Main Directorate of the General Staff - Main Directorate),Главное управление Генерального штаба Вооружённых сил,Генеральный штаб Вооружённых сил,Министерство обороны,Служба внешней разведки
ГРУ (Main Intelligence Directorate of the General Staff - GRU),Главное разведывательное управление Генерального штаба Вооружённых сил,Федеральная служба безопасности,Служба внешней разведки,Федеральная служба охраны
ВС (Armed Forces - AF),Вооружённые силы,Министерство обороны,Генеральный штаб Вооружённых сил,Военно-морской флот
ВТА (Military Transport Aviation - MTA),Военно-транспортная авиация,Дальняя авиация,Фронтовая авиация,Морская авиация
ДА (Long-Range Aviation - LRA),Дальняя авиация,Военно-транспортная авиация,Армейская авиация,Морская авиация
АА (Army Aviation - AA),Армейская авиация,Фронтовая авиация,Военно-транспортная авиация,Дальняя авиация
БФ (Baltic Fleet - BF),Балтийский флот,Северный флот,Черноморский флот,Тихоокеанский флот
ЧФ (Black Sea Fleet - BSF),Черноморский флот,Балтийский флот,Северный флот,Тихоокеанский флот
СВ (Ground Forces - GF),Сухопутные войска,Воздушно-десантные войска,Военно-морской флот,Воздушно-космические силы
ВМС (Naval Forces - NF),Военно-морские силы,Военно-морской флот,Сухопутные войска,Воздушно-космические силы
ВМФ (Navy - Navy),Военно-морской флот,Военно-морские силы,Сухопутные войска,Воздушно-десантные войска
ВВС (Air Forces - AF),Военно-воздушные силы,Воздушно-космические силы,Армейская авиация,Дальняя авиация
ИА (Fighter Aviation - FA),Истребительная авиация,Армейская авиация,Дальняя авиация,Военно-транспортная авиация
ИАД (Fighter Aviation Division - FAD),Истребительная авиационная дивизия,Истребительная авиация,Армейская авиация,Дальняя авиация
ИБА (Fighter-Bomber Aviation - FBA),Истребительно-бомбардировочная авиация,Истребительная авиация,Армейская авиация,Дальняя авиация
ВДВ (Airborne Troops - VDV),Воздушно-десантные войска,Сухопутные войска,Силы специальных операций,Морская пехота
ОВДБР (Separate Airborne Brigade - SAB),Отдельная воздушно-десантная бригада,Воздушно-десантные войска,Сухопутные войска,Морская пехота
ПДР (Parachute Assault Company - PAC),Парашютно-десантная рота,Воздушно-десантные войска,Отдельная воздушно-десантная бригада,Мотострелковая рота
