prompt,ve1,ve2,ve3,ve4
КП (command post),Командный пункт,Наблюдательный пункт,Воинская часть,Боекомплект
НП (observation post),Наблюдательный пункт,Командный пункт,Воинская часть,Боекомплект
БК (basic load (ammunition)),Боекомплект,Командный пункт,Наблюдательный пункт,Воинская часть
ВЧ (military unit),Воинская часть,Командный пункт,Наблюдательный пункт,Частная военная компания
ЧВК (private military company),Частная военная компания,Воинская часть,Федеральная служба безопасности Российской Федерации,Силы специальных операций Российской Федерации
КНП (commander’s observation post),Командно-наблюдательный пункт,Командный пункт,Наблюдательный пункт,Командно-штабная машина
ППД (permanent stationing location),Пункт постоянной дислокации,Пункт временной дислокации,Командный пункт,Воинская часть
ПВД (temporary stationing location),Пункт временной дислокации,Пункт постоянной дислокации,Воинская часть,Командный пункт
КПП (checkpoint),Контрольно-пропускной пункт,Командный пункт,Наблюдательный пункт,Пункт постоянной дислокации
ПУ (control point),Пункт управления,Командный пункт,Наблюдательный пункт,Контрольно-пропускной пункт
