prompt,ve1,ve2,ve3,ve4
БПЛА (unmanned aerial vehicle),Беспилотный летательный аппарат,Боевая машина пехоты,Бронетранспортёр,Переносной зенитный ракетный комплекс
БМП (infantry fighting vehicle),Боевая машина пехоты,Бронетранспортёр,Самоходная артиллерийская установка,Реактивная система залпового огня
БТР (armoured personnel carrier),Бронетранспортёр,Боевая машина пехоты,Самоходная артиллерийская установка,Противотанковый ракетный комплекс
САУ (self-propelled artillery system),Самоходная артиллерийская установка,Реактивная система залпового огня,Противотанковый ракетный комплекс,Переносной зенитный ракетный комплекс
РСЗО (multiple rocket launcher system),Реактивная система залпового огня,Самоходная артиллерийская установка,Боевая машина пехоты,Противотанковый ракетный комплекс
ПТРК (anti-tank guided missile system),Противотанковый ракетный комплекс,Переносной зенитный ракетный комплекс,Реактивная система залпового огня,Самоходная артиллерийская установка
ПЗРК (man-portable air defence system),Переносной зенитный ракетный комплекс,Противотанковый ракетный комплекс,Противовоздушная оборона,Реактивная система залпового огня
ОБТ (main battle tank - MBT),Основной боевой танк,Боевая машина пехоты,Бронетранспортёр,Боевая машина десанта
БМД (airborne infantry fighting vehicle - BMD),Боевая машина десанта,Боевая машина пехоты,Бронетранспортёр,Основной боевой танк
БТР-Д (airborne armoured personnel carrier - BTR-D),Бронетранспортёр-десантный,Боевая машина десанта,Бронетранспортёр,Боевая машина пехоты
МТ-ЛБ (light armoured tracked tractor - MT-LB),Многоцелевой тягач лёгкий бронированный,Бронетранспортёр,Боевая машина пехоты,Самоходная артиллерийская установка
БРЭМ (armoured recovery/repair vehicle),Бронированная ремонтно-эвакуационная машина,Командно-штабная машина,Инженерная машина разграждения,Боевая разведывательная машина
ИМР (combat engineering vehicle),Инженерная машина разграждения,Бронированная ремонтно-эвакуационная машина,Командно-штабная машина,Разведывательная химическая машина
КШМ (command and staff vehicle - CV),Командно-штабная машина,Бронированная ремонтно-эвакуационная машина,Боевая разведывательная машина,Боевая машина пехоты
БРМ (reconnaissance vehicle - BRM),Боевая разведывательная машина,Командно-штабная машина,Разведывательная химическая машина,Бронетранспортёр
РХМ (CBRN reconnaissance vehicle - CBRN),Разведывательная химическая машина,"Войска радиационной, химической и биологической защиты",Радиоэлектронная борьба,Противовоздушная оборона
ЗРК (surface-to-air missile system - SAM),Зенитный ракетный комплекс,Переносной зенитный ракетный комплекс,Противотанковый ракетный комплекс,Реактивная система залпового огня
