prompt,ve1,ve2,ve3,ve4
МО РФ (Ministry of Defence of the Russian Federation - MoD RF),Министерство обороны Российской Федерации,Генеральный штаб Вооружённых сил Российской Федерации,Вооружённые силы Российской Федерации,Федеральная служба безопасности Российской Федерации
ГШ ВС РФ (General Staff of the Armed Forces of the Russian Federation - General Staff),Генеральный штаб Вооружённых сил Российской Федерации,Министерство обороны Российской Федерации,Главное управление Генерального штаба Вооружённых сил Российской Федерации,Вооружённые силы Российской Федерации
ГУ ГШ ВС РФ (Main Directorate of the General Staff of the Armed Forces of the Russian Federation - GUGSh),Главное управление Генерального штаба Вооружённых сил Российской Федерации,Генеральный штаб Вооружённых сил Российской Федерации,Министерство обороны Российской Федерации,Служба внешней разведки Российской Федерации
ГРУ (Main Intelligence Directorate of the General Staff- GRU),Главное разведывательное управление Генерального штаба Вооружённых сил Российской Федерации,Федеральная служба безопасности Российской Федерации,Служба внешней разведки Российской Федерации,Федеральная служба охраны Российской Федерации
ВС РФ (Armed Forces of the Russian Federation - AF RF),Вооружённые силы Российской Федерации,Министерство обороны Российской Федерации,Генеральный штаб Вооружённых сил Российской Федерации,Военно-морской флот Российской Федерации
ВТА (Military Transport Aviation - MTA),Военно-транспортная авиация,Дальняя авиация,Фронтовая авиация,Морская авиация
ДА (Long-Range Aviation - LRA),Дальняя авиация,Военно-транспортная авиация,Армейская авиация,Морская авиация
АА (Army Aviation),Армейская авиация,Фронтовая авиация,Военно-транспортная авиация,Дальняя авиация
БФ (Baltic Fleet),Балтийский флот,Северный флот,Черноморский флот,Тихоокеанский флот
ЧФ (Black Sea Fleet),Черноморский флот,Балтийский флот,Северный флот,Тихоокеанский флот
