prompt,ve1,ve2,ve3,ve4
ПВО (air defence - AD),Противовоздушная оборона,Противоракетная оборона,Радиоэлектронная борьба,"Войска радиационной, химической и биологической защиты"
ПРО (missile defence - MD/ABM),Противоракетная оборона,Противовоздушная оборона,Радиоэлектронная борьба,Ракетные войска стратегического назначения
РЭБ (electronic warfare - EW),Радиоэлектронная борьба,Противовоздушная оборона,Противоракетная оборона,"Войска радиационной, химической и биологической защиты"
РХБЗ (CBRN defence troops - CBRN),"Войска радиационной, химической и биологической защиты",Радиоэлектронная борьба,Противовоздушная оборона,Сухопутные войска Российской Федерации
ПТО (anti-tank defence - AT),Противотанковая оборона,Противовоздушная оборона,Противоракетная оборона,Противоминная оборона
ПМО (mine countermeasures - MCM),Противоминная оборона,Противолодочная оборона,Противотанковая оборона,Противовоздушная оборона
ПЛО (anti-submarine warfare - ASW),Противолодочная оборона,Противоминная оборона,Противотанковая оборона,Противоракетная оборона
ПДСС (anti-sabotage forces and means - PDSS),Противодиверсионные силы и средства,Силы специальных операций Российской Федерации,Воздушно-десантные войска,"Войска радиационной, химической и биологической защиты"
РТР (signals intelligence - SIGINT),Радиотехническая разведка,Радиоэлектронная разведка,Радиоэлектронное подавление,Радиоэлектронная борьба
РЭР (electronic intelligence - ELINT),Радиоэлектронная разведка,Радиотехническая разведка,Радиоэлектронное подавление,Радиоэлектронная борьба
РЭП (electronic countermeasures - ECM),Радиоэлектронное подавление,Радиоэлектронная борьба,Радиоэлектронная разведка,Радиотехническая разведка
РХР (radiological and chemical reconnaissance - CBRN),Радиационная и химическая разведка,"Войска радиационной, химической и биологической защиты",Радиоэлектронная борьба,Противовоздушная оборона
ЗРВ (surface-to-air missile troops - ZRV),Зенитные ракетные войска,Радиотехнические войска,Противовоздушная оборона,Воздушно-космические силы Российской Федерации
РТВ (radio-technical troops - RTV),Радиотехнические войска,Зенитные ракетные войска,Противовоздушная оборона,Воздушно-космические силы Российской Федерации
