prompt,ve1,ve2,ve3,ve4
ФСБ (Federal Security Service - FSB),Федеральная служба безопасности,Служба внешней разведки,Федеральная служба охраны,Федеральная служба войск национальной гвардии
СВР (Foreign Intelligence Service - SVR),Служба внешней разведки,Федеральная служба безопасности,Федеральная служба охраны,Главное разведывательное управление Генерального штаба Вооружённых сил
ФСО (Federal Protective Service - FSO),Федеральная служба охраны,Федеральная служба безопасности,Служба внешней разведки,Федеральная служба войск национальной гвардии
ФСВНГ (National Guard Troops Service - Rosgvardiya),Федеральная служба войск национальной гвардии,Федеральная служба безопасности,Министерство внутренних дел,Министерство обороны
МВД (Ministry of Internal Affairs - MVD),Министерство внутренних дел,Министерство обороны,Федеральная служба безопасности,Генеральная прокуратура
МЧС (Ministry for Civil Defence and Emergencies - EMERCOM),Министерство по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий,Министерство внутренних дел,Федеральная служба безопасности,Министерство обороны
СК (Investigative Committee - IC),Следственный комитет,Генеральная прокуратура,Федеральная служба безопасности,Служба внешней разведки
ГП (Prosecutor General’s Office - PGO),Генеральная прокуратура,Следственный комитет,Федеральная служба безопасности,Федеральная служба охраны
ФСТЭК (Federal Service for Technical and Export Control - FSTEC),Федеральная служба по техническому и экспортному контролю,Федеральная служба безопасности,Служба внешней разведки,Министерство обороны
ФТС (Federal Customs Service - FCS),Федеральная таможенная служба,Федеральная служба исполнения наказаний,Министерство внутренних дел,Федеральная служба безопасности
ОМОН (Special Purpose Mobile Unit - OMON),Отряд мобильный особого назначения,Федеральная служба войск национальной гвардии,Министерство внутренних дел,Силы специальных операций
ГГ (State Border),Государственная граница,Пограничная служба Федеральной службы безопасности,Федеральная служба безопасности,Федеральная таможенная служба
