Russian,Finnish
Рядовой,Private
Ефрейтор,Corporal
Младший сержант,Junior sergeant
Сержант,Sergeant
Старший сержант,Senior sergeant
Старшина,Sergeant major
Курса́нт,Officer cadet
Прапорщик,Warrant officer
Старший прапорщик,Senior warrant officer
Младший лейтенант,Junior lieutenant
Лейтенант,Lieutenant
Старший лейтенант,Senior lieutenant
Капитан,Captain
Майор,Major
Подполковник,Lieutenant colonel
Полковник,Colonel
Генерал-майор,Major general
Генерал-лейтенант,Lieutenant general
Генерал-полковник,Colonel general
Генерал армии,Army general
Маршал Российской Федерации,Marshal of the Russian Federation
