prompt,ve1,ve2,ve3,ve4
МО (Venäjän federaation puolustusministeriö - MoD),Министерство обороны,Генеральный штаб Вооружённых сил,Вооружённые силы,Федеральная служба безопасности
ГШ ВС (Venäjän asevoimien pääesikunta - General Staff),Генеральный штаб Вооружённых сил,Министерство обороны,Главное управление Генерального штаба Вооружённых сил,Вооружённые силы
ГУ ГШ ВС (Venäjän asevoimien pääesikunnan pääosasto - GUGSh),Главное управление Генерального штаба Вооружённых сил,Генеральный штаб Вооружённых сил,Министерство обороны,Служба внешней разведки
ГРУ (Pääesikunnan tiedustelupääosasto; perinteinen nimitys - GRU),Главное разведывательное управление Генерального штаба Вооружённых сил,Федеральная служба безопасности,Служба внешней разведки,Федеральная служба охраны
ВС (Venäjän asevoimat - AF),Вооружённые силы,Министерство обороны,Генеральный штаб Вооружённых сил,Военно-морской флот
ВТА (Venäjän sotilaskuljetusilmailu - MTA),Военно-транспортная авиация,Дальняя авиация,Фронтовая авиация,Морская авиация
ДА (Venäjän kaukotoimintailmailu - LRA),Дальняя авиация,Военно-транспортная авиация,Армейская авиация,Морская авиация
АА (Venäjän armeija-/maavoimien ilmailu - Army Aviation),Армейская авиация,Фронтовая авиация,Военно-транспортная авиация,Дальняя авиация
БФ (Venäjän Itämeren laivasto - Baltic Fleet),Балтийский флот,Северный флот,Черноморский флот,Тихоокеанский флот
ЧФ (Venäjän Mustanmeren laivasto - Black Sea Fleet),Черноморский флот,Балтийский флот,Северный флот,Тихоокеанский флот
СВ (maavoimat),Сухопутные войска,Воздушно-десантные войска,Военно-морской флот,Воздушно-космические силы
ВМС (merivoimat),Военно-морские силы,Военно-морской флот,Сухопутные войска,Воздушно-космические силы
ВМФ (laivasto),Военно-морской флот,Военно-морские силы,Сухопутные войска,Воздушно-десантные войска
ВВС (ilmavoimat),Военно-воздушные силы,Воздушно-космические силы,Армейская авиация,Дальняя авиация
ИА (hävittäjäilmavoimat),Истребительная авиация,Армейская авиация,Дальняя авиация,Военно-транспортная авиация
ИАД (hävittäjälentodivisioona),Истребительная авиационная дивизия,Истребительная авиация,Армейская авиация,Дальняя авиация
ИБА (hävittäjäpommittajailmavoimat),Истребительно-бомбардировочная авиация,Истребительная авиация,Армейская авиация,Дальняя авиация
ВДВ (maahanlaskujoukot),Воздушно-десантные войска,Сухопутные войска,Силы специальных операций,Морская пехота
ОВДБР (erillinen maahanlaskuprikaati),Отдельная воздушно-десантная бригада,Воздушно-десантные войска,Сухопутные войска,Морская пехота
ПДР (laskuvarjojääkärikomppania),Парашютно-десантная рота,Воздушно-десантные войска,Отдельная воздушно-десантная бригада,Мотострелковая рота
