prompt,ve1,ve2,ve3,ve4
КП (komentopaikka),Командный пункт,Наблюдательный пункт,Воинская часть,Боекомплект
НП (tähystyspaikka),Наблюдательный пункт,Командный пункт,Воинская часть,Боекомплект
БК (ammuskuorma),Боекомплект,Командный пункт,Наблюдательный пункт,Воинская часть
ВЧ (sotilasyksikkö),Воинская часть,Командный пункт,Наблюдательный пункт,Частная военная компания
ЧВК (yksityinen sotilasyhtiö),Частная военная компания,Воинская часть,Федеральная служба безопасности Российской Федерации,Силы специальных операций Российской Федерации
КНП (komentajan havaintopaikka),Командно-наблюдательный пункт,Командный пункт,Наблюдательный пункт,Командно-штабная машина
ППД (pysyvä sijoituspaikka),Пункт постоянной дислокации,Пункт временной дислокации,Командный пункт,Воинская часть
ПВД (väliaikainen sijoituspaikka),Пункт временной дислокации,Пункт постоянной дислокации,Воинская часть,Командный пункт
КПП (tarkastuspiste),Контрольно-пропускной пункт,Командный пункт,Наблюдательный пункт,Пункт постоянной дислокации
ПУ (ohjauspiste),Пункт управления,Командный пункт,Наблюдательный пункт,Контрольно-пропускной пункт
