prompt,ve1,ve2,ve3,ve4
БПЛА (miehittämätön ilma-alus),Беспилотный летательный аппарат,Боевая машина пехоты,Бронетранспортёр,Переносной зенитный ракетный комплекс
БМП (jalkaväen taisteluajoneuvo),Боевая машина пехоты,Бронетранспортёр,Самоходная артиллерийская установка,Реактивная система залпового огня
БТР (panssaroitu miehistönkuljetusvaunu),Бронетранспортёр,Боевая машина пехоты,Самоходная артиллерийская установка,Противотанковый ракетный комплекс
САУ (itseliikkuva tykistöjärjestelmä),Самоходная артиллерийская установка,Реактивная система залпового огня,Противотанковый ракетный комплекс,Переносной зенитный ракетный комплекс
РСЗО (rakettien monilaukaisujärjestelmä),Реактивная система залпового огня,Самоходная артиллерийская установка,Боевая машина пехоты,Противотанковый ракетный комплекс
ПТРК (panssarintorjuntaohjusjärjestelmä),Противотанковый ракетный комплекс,Переносной зенитный ракетный комплекс,Реактивная система залпового огня,Самоходная артиллерийская установка
ПЗРК (kannettava ilmatorjuntaohjusjärjestelmä),Переносной зенитный ракетный комплекс,Противотанковый ракетный комплекс,Противовоздушная оборона,Реактивная система залпового огня
ОБТ (taistelupanssarivaunu - MBT),Основной боевой танк,Боевая машина пехоты,Бронетранспортёр,Боевая машина десанта
БМД (maahanlaskujoukkojen taisteluajoneuvo - BMD),Боевая машина десанта,Боевая машина пехоты,Бронетранспортёр,Основной боевой танк
БТР-Д (maahanlaskujoukkojen miehistönkuljetusvaunu - BTR-D),Бронетранспортёр-десантный,Боевая машина десанта,Бронетранспортёр,Боевая машина пехоты
МТ-ЛБ (kevyt panssaroitu telakuljetin - MT-LB),Многоцелевой тягач лёгкий бронированный,Бронетранспортёр,Боевая машина пехоты,Самоходная артиллерийская установка
БРЭМ (panssaroitu hinaus-/korjausajoneuvo),Бронированная ремонтно-эвакуационная машина,Командно-штабная машина,Инженерная машина разграждения,Боевая разведывательная машина
ИМР (raivaus-/insinööriajoneuvo),Инженерная машина разграждения,Бронированная ремонтно-эвакуационная машина,Командно-штабная машина,Разведывательная химическая машина
КШМ (komento- ja esikunta-ajoneuvo - CV),Командно-штабная машина,Бронированная ремонтно-эвакуационная машина,Боевая разведывательная машина,Боевая машина пехоты
БРМ (tiedusteluajoneuvo - BRM),Боевая разведывательная машина,Командно-штабная машина,Разведывательная химическая машина,Бронетранспортёр
РХМ (kemiallisen suojelun tiedusteluajoneuvo - CBRN),Разведывательная химическая машина,"Войска радиационной, химической и биологической защиты",Радиоэлектронная борьба,Противовоздушная оборона
ЗРК (ilmatorjuntaohjusjärjestelmä - SAM),Зенитный ракетный комплекс,Переносной зенитный ракетный комплекс,Противотанковый ракетный комплекс,Реактивная система залпового огня
