prompt,ve1,ve2,ve3,ve4
МО РФ (Venäjän federaation puolustusministeriö - MoD RF),Министерство обороны Российской Федерации,Генеральный штаб Вооружённых сил Российской Федерации,Вооружённые силы Российской Федерации,Федеральная служба безопасности Российской Федерации
ГШ ВС РФ (Venäjän federaation asevoimien pääesikunta - General Staff),Генеральный штаб Вооружённых сил Российской Федерации,Министерство обороны Российской Федерации,Главное управление Генерального штаба Вооружённых сил Российской Федерации,Вооружённые силы Российской Федерации
ГУ ГШ ВС РФ (Venäjän federaation asevoimien pääesikunnan pääosasto - GUGSh),Главное управление Генерального штаба Вооружённых сил Российской Федерации,Генеральный штаб Вооружённых сил Российской Федерации,Министерство обороны Российской Федерации,Служба внешней разведки Российской Федерации
ГРУ (Pääesikunnan tiedustelupääosasto; perinteinen nimitys - GRU),Главное разведывательное управление Генерального штаба Вооружённых сил Российской Федерации,Федеральная служба безопасности Российской Федерации,Служба внешней разведки Российской Федерации,Федеральная служба охраны Российской Федерации
ВС РФ (Venäjän federaation asevoimat - AF RF),Вооружённые силы Российской Федерации,Министерство обороны Российской Федерации,Генеральный штаб Вооружённых сил Российской Федерации,Военно-морской флот Российской Федерации
ВТА (Venäjän sotilaskuljetusilmailu - MTA),Военно-транспортная авиация,Дальняя авиация,Фронтовая авиация,Морская авиация
ДА (Venäjän kaukotoimintailmailu - LRA),Дальняя авиация,Военно-транспортная авиация,Армейская авиация,Морская авиация
АА (Venäjän armeija-/maavoimien ilmailu - Army Aviation),Армейская авиация,Фронтовая авиация,Военно-транспортная авиация,Дальняя авиация
БФ (Venäjän Itämeren laivasto - Baltic Fleet),Балтийский флот,Северный флот,Черноморский флот,Тихоокеанский флот
ЧФ (Venäjän Mustanmeren laivasto - Black Sea Fleet),Черноморский флот,Балтийский флот,Северный флот,Тихоокеанский флот
