prompt,ve1,ve2,ve3,ve4
ПВО (ilmatorjunta - AD),Противовоздушная оборона,Противоракетная оборона,Радиоэлектронная борьба,"Войска радиационной, химической и биологической защиты"
ПРО (ohjuspuolustus - MD/ABM),Противоракетная оборона,Противовоздушная оборона,Радиоэлектронная борьба,Ракетные войска стратегического назначения
РЭБ (radioelektroninen sodankäynti - EW),Радиоэлектронная борьба,Противовоздушная оборона,Противоракетная оборона,"Войска радиационной, химической и биологической защиты"
РХБЗ (säteily- & kemiallisen & biologisen suojelun joukot - CBRN),"Войска радиационной, химической и биологической защиты",Радиоэлектронная борьба,Противовоздушная оборона,Сухопутные войска Российской Федерации
ПТО (panssarintorjunta - AT),Противотанковая оборона,Противовоздушная оборона,Противоракетная оборона,Противоминная оборона
ПМО (miinantorjunta - MCM),Противоминная оборона,Противолодочная оборона,Противотанковая оборона,Противовоздушная оборона
ПЛО (sukellusvenetorjunta - ASW),Противолодочная оборона,Противоминная оборона,Противотанковая оборона,Противоракетная оборона
ПДСС (vastadiversiojoukot ja -keinot - PDSS),Противодиверсионные силы и средства,Силы специальных операций Российской Федерации,Воздушно-десантные войска,"Войска радиационной, химической и биологической защиты"
РТР (radiotekninen tiedustelu - SIGINT),Радиотехническая разведка,Радиоэлектронная разведка,Радиоэлектронное подавление,Радиоэлектронная борьба
РЭР (radioelektroninen tiedustelu - ELINT),Радиоэлектронная разведка,Радиотехническая разведка,Радиоэлектронное подавление,Радиоэлектронная борьба
РЭП (radioelektroninen häirintä - ECM),Радиоэлектронное подавление,Радиоэлектронная борьба,Радиоэлектронная разведка,Радиотехническая разведка
РХР (säteily- ja kemiallinen tiedustelu - CBRN),Радиационная и химическая разведка,"Войска радиационной, химической и биологической защиты",Радиоэлектронная борьба,Противовоздушная оборона
ЗРВ (ilmatorjuntaohjusjoukot - ZRV),Зенитные ракетные войска,Радиотехнические войска,Противовоздушная оборона,Воздушно-космические силы Российской Федерации
РТВ (radiotekniset joukot - RTV),Радиотехнические войска,Зенитные ракетные войска,Противовоздушная оборона,Воздушно-космические силы Российской Федерации
