prompt,ve1,ve2,ve3,ve4
ФСБ (Venäjän turvallisuuspalvelu - FSB),Федеральная служба безопасности,Служба внешней разведки,Федеральная служба охраны,Федеральная служба войск национальной гвардии
СВР (Venäjän ulkomaantiedustelupalvelu - SVR),Служба внешней разведки,Федеральная служба безопасности,Федеральная служба охраны,Главное разведывательное управление Генерального штаба Вооружённых сил
ФСО (Venäjän suojelupalvelu - FSO),Федеральная служба охраны,Федеральная служба безопасности,Служба внешней разведки,Федеральная служба войск национальной гвардии
ФСВНГ (Venäjän kansalliskaartin joukkojen liittopalvelu - Rosgvardiya),Федеральная служба войск национальной гвардии,Федеральная служба безопасности,Министерство внутренних дел,Министерство обороны
МВД (Venäjän sisäasiainministeriö - MVD),Министерство внутренних дел,Министерство обороны,Федеральная служба безопасности,Генеральная прокуратура
МЧС (Venäjän hätätilaministeriö - EMERCOM),Министерство по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий,Министерство внутренних дел,Федеральная служба безопасности,Министерство обороны
СК (Venäjän tutkintakomitea - ICR),Следственный комитет,Генеральная прокуратура,Федеральная служба безопасности,Служба внешней разведки
ГП (Venäjän pääsyyttäjänvirasto - PGO),Генеральная прокуратура,Следственный комитет,Федеральная служба безопасности,Федеральная служба охраны
ФСТЭК (Venäjän teknisen ja vientivalvonnan liittopalvelu - FSTEC),Федеральная служба по техническому и экспортному контролю,Федеральная служба безопасности,Служба внешней разведки,Министерство обороны
ФТС (Venäjän tullipalvelu - FCS),Федеральная таможенная служба,Федеральная служба исполнения наказаний,Министерство внутренних дел,Федеральная служба безопасности
ОМОН (liikkuvat erikoisjoukot),Отряд мобильный особого назначения,Федеральная служба войск национальной гвардии,Министерство внутренних дел,Силы специальных операций
ГГ (valtion raja),Государственная граница,Пограничная служба Федеральной службы безопасности,Федеральная служба безопасности,Федеральная таможенная служба
